Speech Library 2OA, 70
Speech Library 3OA, 80
Speech Library direct, 61
Speech Library 0OA, 57
Speech Library 1OA, 89
Speech Library 4OA, 100
TakeFive Library direct, 73
TakeFive Library 3OA, 65
TakeFive Library 1OA, 88
TakeFive Library 4OA, 100
TakeFive Library 2OA, 90
TakeFive Library 0OA, 78
Speech Trapezoid 3OA, 92
Speech Trapezoid 0OA, 68
Speech Trapezoid 1OA, 85
Speech Trapezoid 4OA, 100
Speech Trapezoid direct, 41
Speech Trapezoid 2OA, 90
TakeFive Trapezoid 3OA, 92
TakeFive Trapezoid 1OA, 84
TakeFive Trapezoid 0OA, 40
TakeFive Trapezoid direct, 50
TakeFive Trapezoid 2OA, 88
TakeFive Trapezoid 4OA, 95
