TakeFive Library 1OA, 81
TakeFive Library direct, 3
TakeFive Library 3OA, 79
TakeFive Library 0OA, 38
TakeFive Library 4OA, 86
TakeFive Library 2OA, 84
Speech Library direct, 1
Speech Library 4OA, 83
Speech Library 3OA, 83
Speech Library 1OA, 72
Speech Library 2OA, 78
Speech Library 0OA, 39
Speech Trapezoid 0OA, 30
Speech Trapezoid direct, 2
Speech Trapezoid 4OA, 83
Speech Trapezoid 3OA, 84
Speech Trapezoid 1OA, 84
Speech Trapezoid 2OA, 84
TakeFive Trapezoid 3OA, 82
TakeFive Trapezoid direct, 2
TakeFive Trapezoid 2OA, 71
TakeFive Trapezoid 4OA, 82
TakeFive Trapezoid 0OA, 53
TakeFive Trapezoid 1OA, 85
