TakeFive Trapezoid 0OA, 54
TakeFive Trapezoid 4OA, 99
TakeFive Trapezoid 3OA, 98
TakeFive Trapezoid 1OA, 74
TakeFive Trapezoid 2OA, 99
TakeFive Trapezoid direct, 12
Speech Library direct, 36
Speech Library 0OA, 50
Speech Library 4OA, 97
Speech Library 1OA, 99
Speech Library 2OA, 90
Speech Library 3OA, 97
Speech Trapezoid direct, 17
Speech Trapezoid 2OA, 64
Speech Trapezoid 0OA, 44
Speech Trapezoid 3OA, 98
Speech Trapezoid 1OA, 86
Speech Trapezoid 4OA, 86
TakeFive Library direct, 15
TakeFive Library 4OA, 94
TakeFive Library 3OA, 92
TakeFive Library 2OA, 93
TakeFive Library 1OA, 63
TakeFive Library 0OA, 34
