TakeFive Library 0OA, 49
TakeFive Library 2OA, 63
TakeFive Library direct, 1
TakeFive Library 1OA, 81
TakeFive Library 4OA, 92
TakeFive Library 3OA, 91
TakeFive Trapezoid 4OA, 81
TakeFive Trapezoid 2OA, 95
TakeFive Trapezoid 1OA, 52
TakeFive Trapezoid 3OA, 92
TakeFive Trapezoid direct, 0
TakeFive Trapezoid 0OA, 19
Speech Trapezoid 3OA, 92
Speech Trapezoid direct, 0
Speech Trapezoid 1OA, 94
Speech Trapezoid 0OA, 26
Speech Trapezoid 4OA, 93
Speech Trapezoid 2OA, 93
Speech Library 4OA, 89
Speech Library 2OA, 39
Speech Library direct, 0
Speech Library 1OA, 70
Speech Library 3OA, 72
Speech Library 0OA, 18
