TakeFive Trapezoid 3OA, 78
TakeFive Trapezoid 0OA, 0
TakeFive Trapezoid 1OA, 100
TakeFive Trapezoid direct, 1
TakeFive Trapezoid 4OA, 99
TakeFive Trapezoid 2OA, 100
Speech Library 3OA, 100
Speech Library 1OA, 100
Speech Library direct, 3
Speech Library 4OA, 100
Speech Library 0OA, 3
Speech Library 2OA, 81
TakeFive Library direct, 1
TakeFive Library 0OA, 34
TakeFive Library 3OA, 100
TakeFive Library 2OA, 100
TakeFive Library 4OA, 79
TakeFive Library 1OA, 50
Speech Trapezoid 0OA, 2
Speech Trapezoid 4OA, 76
Speech Trapezoid 3OA, 56
Speech Trapezoid 2OA, 100
Speech Trapezoid direct, 2
Speech Trapezoid 1OA, 77
